metric,mean_spearman,std_spearman,mean_kendall,mean_top3,rounds
dot_product,0.1437168489422504,0.29714594285439927,0.10667284454333173,0.25146198830409355,285
magnitude_alignment,0.1437168489422504,0.29714594285439927,0.10667284454333173,0.25146198830409355,285
cosine_to_global,0.14145523563317372,0.29651235808803955,0.10603516017083849,0.24912280701754386,285
update_norm,0.13715768198976241,0.3093436628062096,0.10134447437441897,0.26555555555555554,300
temporal_alignment,0.03547192862329182,0.34460445420076924,0.02805099335133901,0.2725146198830409,285
global_temporal_alignment,0.02490415757174039,0.3594806746135053,0.018904423666448636,0.2807017543859649,285
diversity_alignment,0.019487671712918427,0.3450083638582789,0.013503006153720985,0.2725146198830409,285
grad_norm,-0.02997936178421403,0.3409130001299178,-0.017821902833611996,0.3311111111111111,300
